Name,Symbol,Price,Market cap,24h change
Zcash,ZEC,73.75,$ 1.2B,+4.27%
PancakeSwap,CAKE,4.09,$ 1.2B,-0.99%
Celestia,TIA,8.38,$ 1.18B,-3.57%
Chiliz,CHZ,0.131,$ 1.17B,+1.58%
XinFin Network,XDC,0.0947,$ 1.16B,-3.48%
Synthetix Network,SNX,3.44,$ 1.16B,+7.74%
FTX Token,FTT,3.42,$ 1.12B,+5.30%
Mina Protocol Token,MINA,0.932,$ 1.11B,-3.01%
Terra Classic,LUNC,0.000163,$ 1.1B,-2.20%
Ankr,ANKR,0.0539,$ 1.08B,-2.62%
AMP,AMP,0.0108,$ 1.08B,+0.20%
eCash,XEC,0.0000538,$ 1.06B,+0.46%
Compound,COMP,117.56,$ 1.04B,+0.39%
JITO,JTO,3.87,$ 1.04B,+8.84%
KuCoin Token,KCS,13.67,$ 1.03B,+0.72%
ordi,ORDI,48.45,$ 1.02B,-1.00%
Pax Dollar,USDP,0.999,$ 1.02B,-0.00%
Notcoin,NOT,0.00981,$ 1.01B,-2.69%
SuperVerse,SUPER,2.02,$ 1.01B,+7.54%
zkSync,ZK,0.252,$ 926.99M,-3.92%
Axelar,AXL,1.04,$ 902.32M,-0.49%
Helium,HNT,9.12,$ 890.68M,-3.34%
cat in a dogs world,MEW,0.00985,$ 876.9M,+3.05%
DOG•GO•TO•THE•MOON,🐕,0.00862,$ 861.64M,+17.95%
EigenLayer,EIGEN,4.56,$ 851.7M,-0.25%
BLUR,BLUR,0.411,$ 844.98M,-2.78%
Universe,UNI,19.07,$ 841.53M,+9.74%
Ronin,RON,2.28,$ 834.44M,-0.97%
Telcoin,TEL,0.00674,$ 833.57M,+4.66%
ApolloX,APX,0.125,$ 829.02M,-7.30%
Neiro,NEIRO,0.00189,$ 796.08M,-0.44%
Nervos Network,CKB,0.017,$ 771.76M,-0.73%
Pyth Network,PYTH,0.513,$ 770.29M,-3.35%
SPX6900,SPX,0.748,$ 769.83M,+3.68%
1inch Token,1INCH,0.544,$ 759.26M,+1.25%
Goatseus Maximus,GOAT,0.756,$ 756.7M,-2.71%
Turbo,TURBO,0.0108,$ 746.8M,+2.15%
Echelon Prime,PRIME,15.03,$ 745.22M,-5.54%
USDD,USDD,0.998,$ 742.34M,-0.14%
Grass,GRASS,2.98,$ 727.78M,+3.35%
Coinbase Wrapped Staked ETH,CBETH,"4,331.54",$ 727.51M,-0.01%
Dash,DASH,59.67,$ 719.77M,-0.45%
Wormhole,W,0.384,$ 691.59M,-2.28%
Name,Symbol,Price,Market cap,24h change
Zilliqa,ZIL,0.0349,$ 690.65M,-2.22%
Ravencoin,RVN,0.032,$ 672.71M,-2.19%
Spectral Token,SPEC,14.10,$ 672.32M,-3.96%
SUSHI,SUSHI,2.40,$ 668.12M,+27.87%
Holo,HOT,0.00377,$ 669.17M,-0.92%
Creditcoin,CTC,1.62,$ 666.48M,-4.47%
Convex Finance,CVX,6.84,$ 661.75M,-1.37%
APENFT,NFT,0.0₆659,$ 658.71M,-1.95%
SATS BRC,SATS,0.0₆312,$ 655.05M,-1.14%
Frax,FRAX,0.999,$ 654.82M,+0.68%
Metis Token,METIS,65.39,$ 653.43M,-1.73%
Astar,ASTR,0.0874,$ 648.81M,-2.49%
Bitcoin Gold,BTG,37.34,$ 648.22M,+0.57%
Gas,GAS,6.68,$ 642.86M,-2.12%
0x,ZRX,0.755,$ 640.41M,-3.17%
Safe Token,SAFE,1.49,$ 636.8M,-2.93%
WOO Network,WOO,0.342,$ 635.91M,-3.59%
Dexe,DEXE,11.00,$ 628.91M,-0.95%
Harmony,ONE,0.0429,$ 614.59M,+0.75%
Ribbon Finance,RBN,0.601,$ 600.29M,-4.81%
AIOZ Network,AIOZ,1.13,$ 597.16M,-3.41%
Memecoin,MEME,0.0179,$ 586.39M,+0.13%
Snek,SNEK,0.00782,$ 581.24M,-0.66%
Act I : The AI Prophecy,ACT,0.602,$ 577.89M,-1.75%
Illuvium,ILV,66.82,$ 577.53M,-2.34%
Nakamoto.Games,NAKA,1.60,$ 574.61M,-2.55%
BOOK OF MEME,BOME,0.0104,$ 573.71M,-3.47%
Celo,CELO,1.03,$ 571.9M,-5.38%
Axie Infinity,AXS,9.36,$ 570M,-0.87%
GIGACHAD,GIGA,0.0606,$ 564.66M,+6.32%
IoTeX,IOTX,0.0592,$ 558.82M,-2.53%
StarkNet Token,STRK,0.764,$ 556.6M,-2.45%
tBTC v2,TBTC,"99,847.96",$ 555.94M,+0.57%
EthereumPoW,ETHW,5.16,$ 555.61M,-1.78%
Cheelee,CHEEL,9.64,$ 547.87M,-1.26%
Vulcan Forged,PYR,4.68,$ 543.98M,+10.11%
BELDEX,BDX,0.0784,$ 541.94M,-0.23%
Binance USD,BUSD,1.01,$ 541M,-0.71%
QTUM,QTUM,4.97,$ 524.08M,+1.98%
Kadena,KDA,1.75,$ 521.42M,-3.48%
PAX Gold,PAXG,"2,625.40",$ 519.72M,-0.04%
aelf,ELF,0.592,$ 511.83M,-1.54%
Basic Attention Token,BAT,0.335,$ 501.72M,-3.14%
Osmosis,OSMO,0.786,$ 497.77M,-2.28%
yearn.finance,YFI,"13,370.92",$ 492.02M,-5.46%
Manta,MANTA,1.27,$ 489.7M,-4.20%
Theta Fuel,TFUEL,0.0922,$ 488.78M,-2.85%
UMA,UMA,3.98,$ 486.79M,+3.00%
pepeCoin,PEPECOIN,3.66,$ 483.14M,-6.70%
OriginTrail,TRAC,1.17,$ 482.1M,-2.98%
Name,Symbol,Price,Market cap,24h change
Moo Deng,MOODENG,0.483,$ 478.87M,-4.26%
Gala,GALA,0.0621,$ 468.36M,+4.80%
Across Protocol Token,ACX,1.09,$ 465.5M,+6.56%
Fasttoken,FTN,3.19,$ 458.91M,+0.04%
Destra Network,DSYNC,0.469,$ 455.3M,-4.11%
SKALE,SKL,0.0793,$ 445.18M,-1.09%
Chia Network,XCH,31.70,$ 441.81M,+0.17%
AltLayer Token,ALT,0.191,$ 441.58M,-5.42%
DOGS,DOGS,0.000853,$ 440.67M,-1.37%
Just a chill guy,CHILLGUY,0.44,$ 440.06M,+0.06%
Siacoin,SC,0.00787,$ 431.88M,-2.59%
Threshold,T,0.039,$ 430.09M,-8.48%
Drift,DRIFT,1.59,$ 423.51M,-2.09%
Simons Cat,CAT,0.000054,$ 412.74M,-5.90%
Clearpool,CPOOL,0.415,$ 405.87M,+3.45%
SafePal,SFP,0.809,$ 404.28M,-2.39%
Kusama,KSM,44.75,$ 401.83M,-3.09%
Apu Apustaja,APU,0.000982,$ 401.32M,+6.59%
QUBIC,QUBIC,0.0₅392,$ 399.23M,-2.20%
Golem,GLM,0.504,$ 398.6M,-3.11%
Biconomy,BICO,0.436,$ 398.58M,-4.02%
Olympus v2,OHM,21.25,$ 393.58M,+0.73%
ConstitutionDAO,PEOPLE,0.077,$ 390.26M,-1.63%
Radix,XRD,0.0365,$ 387.22M,-1.98%
Loopring,LRC,0.307,$ 386.96M,-1.12%
zerebro,ZEREBRO,0.394,$ 385.66M,-14.72%
Bonfida,FIDA,0.387,$ 383.88M,-2.66%
Frax Share,FXS,4.45,$ 380.84M,-4.22%
MX Token,MX,3.89,$ 376.67M,+1.80%
Dymension,DYM,2.57,$ 375.44M,-3.48%
Decred,DCR,22.68,$ 373.99M,+1.23%
ssv.network,SSV,33.04,$ 371.96M,-2.23%
API3,API3,2.54,$ 367.98M,+0.57%
Liechtenstein Cryptoassets Exchange,LCX,0.39,$ 364.37M,-1.03%
Arkham,ARKM,2.39,$ 359.36M,-3.09%
Alchemy Pay,ACH,0.0356,$ 355.79M,-3.70%
Moonbeam,GLMR,0.384,$ 354.69M,-2.00%
Rocket Pool,RPL,16.95,$ 354.46M,-2.49%
XYO Network,XYO,0.0254,$ 354.04M,-2.44%
Power Ledger,POWR,0.354,$ 353.03M,-5.09%
PayPal USD,PYUSD,0.998,$ 350.75M,+0.00%
Orca,ORCA,6.47,$ 345.67M,+2.41%
IO,IO,3.60,$ 341.59M,-3.03%
Instadapp,INST,8.41,$ 341.3M,+5.92%
KarratCoin,KARRAT,0.60,$ 336.7M,-2.54%
ether.fi governance token,ETHFI,2.92,$ 336.9M,-2.12%
VeThor Token,VTHO,0.00399,$ 333.66M,-0.54%
Mask Network,MASK,4.24,$ 332.54M,-2.57%
Polymesh,POLYX,0.395,$ 331.23M,-1.60%
PAAL AI,$PAAL,0.383,$ 329.74M,-0.32%
Name,Symbol,Price,Market cap,24h change
Gnosis,GNO,296.84,$ 327.89M,-1.00%
Flux,FLUX,0.872,$ 327.99M,-3.97%
TrueUSD,TUSD,1.02,$ 323.93M,+0.61%
Hivemapper,HONEY,0.108,$ 323.08M,-2.41%
Non-Playable Coin,NPC,0.0388,$ 322.98M,-6.62%
Reserve Rights Token,RSR,0.018,$ 320.43M,+0.15%
BLAST,BLAST,0.0138,$ 317.1M,-2.36%
Ponke,PONKE,0.569,$ 316.34M,+1.25%
Yield Guild Games,YGG,0.799,$ 316.25M,-1.53%
AGI Token,AGI,0.245,$ 314.01M,-4.05%
DigiByte,DGB,0.018,$ 313.64M,-1.06%
Aethir,ATH,0.0827,$ 312.65M,+3.79%
Gravity,G,0.0431,$ 311.73M,-3.17%
Casper,CSPR,0.0243,$ 307.5M,+3.37%
VANRY,VANRY,0.166,$ 305.62M,-1.08%
Andy,ANDY,0.000304,$ 304.19M,+4.45%
BakeryToken,BAKE,0.412,$ 301.13M,-2.23%
Avail Token,Avail,0.171,$ 298.04M,+1.02%
Wrapped AVAX,WAVAX,52.06,$ 297.43M,-0.14%
Wrapped Solana,SOL,238.57,$ 294.55M,+0.33%
TerraClassicUSD,USTC,0.0295,$ 289.07M,-2.53%
Constellation,DAG,0.0717,$ 286.89M,-3.31%
ICON,ICX,0.274,$ 284.17M,-1.68%
Storj,STORJ,0.697,$ 283.34M,-3.18%
Waves,WAVES,2.41,$ 280.96M,-0.25%
Hamster Kombat,HMSTR,0.00436,$ 280.44M,-1.99%
Chromia,CHR,0.335,$ 277.65M,-3.06%
Enjin Coin,ENJ,0.364,$ 277.2M,-1.84%
Status,SNT,0.0691,$ 277.11M,-1.79%
Nano,XNO,2.08,$ 276.58M,+1.59%
IOST,IOST,0.0103,$ 276.19M,-2.53%
