Name,Symbol,Price,Market cap,24h change
Merlin Chain,MERL,0.476,$ 107.83M,-0.77%
ResearchCoin,RSC,1.05,$ 107.74M,+8.99%
Tokenlon,LON,0.866,$ 107.28M,+2.59%
VIDT DAO,VIDT,0.0534,$ 106.75M,+1.54%
Autonolas,OLAS,2.20,$ 106.61M,+8.55%
Shibabitcoin,SHIBTC,1.23,$ 106M,+0.04%
Request Network,REQ,0.145,$ 105.84M,+4.45%
Sleepless AI Token,AI,0.813,$ 105.73M,+0.23%
NFPrompt Token,NFP,0.421,$ 105.36M,-1.25%
OPENLOOT,OL,0.452,$ 105.34M,-7.15%
Maverick Protocol,MAV,0.314,$ 104.33M,-0.20%
Boson Protocol,BOSON,0.52,$ 103.97M,+15.43%
WazirX,WRX,0.246,$ 102.99M,+8.74%
Moca,MOCA,0.0899,$ 102.27M,+6.30%
Loom Network,LOOM,0.078,$ 101.41M,+3.12%
Tensor,TNSR,0.811,$ 101.34M,+2.14%
Polyhedra Network,ZK,1.68,$ 101.23M,+7.20%
STEPN,GMT,0.244,$ 101.14M,+3.55%
Wrapped Matic,WMATIC,0.706,$ 100.49M,+5.19%
Energy Web Token,EWT,1.86,$ 100.09M,-1.88%
Altura,ALU,0.158,$ 98.88M,+9.96%
Neutron,NTRN,0.649,$ 98.6M,+3.56%
Bella Protocol,BEL,0.897,$ 97.69M,+4.42%
GameBuild,GAME,0.00604,$ 97.72M,+3.66%
Badger DAO,BADGER,4.66,$ 97.42M,+0.47%
Zero1 Token,DEAI,0.997,$ 96.51M,+7.06%
ZEUS,ZEUS,0.576,$ 96.44M,-1.82%
ApeX Protocol,APEX,1.99,$ 96.29M,+4.75%
LTO Network,LTO,0.22,$ 95.45M,-1.27%
LeverFi,LEVER,0.00282,$ 95.03M,+2.77%
MemeFi,MEMEFI,0.00946,$ 94.6M,+2.44%
PORTAL,PORTAL,0.561,$ 93.71M,-1.91%
PUFFER,PUFFER,0.912,$ 93.31M,+14.65%
Name,Symbol,Price,Market cap,24h change
Chainflip,FLIP,2.45,$ 91.87M,+1.07%
Horizen,ZEN,17.74,$ 91.71M,+3.81%
SoMee.Social,ONG,0.479,$ 91.7M,+5.14%
Propy,PRO,1.60,$ 91.16M,-0.30%
Terra,LUNA,0.726,$ 90.45M,-0.19%
PlatON,LAT,0.0149,$ 90.6M,-13.90%
BOBO,BOBO,0.0₅131,$ 90.26M,+0.82%
StormX,STMX,0.00896,$ 89.63M,+1.42%
Band Protocol,BAND,2.24,$ 89.54M,+6.77%
Pangolin,PNG,0.41,$ 89.45M,-2.89%
MARBLEX,MBX,0.50,$ 88.44M,-0.07%
Metal,MTL,2.71,$ 88.27M,-6.56%
New Kind of Network,NKN,0.136,$ 88.16M,+1.01%
Decentralized Social,DESO,9.92,$ 88.1M,+9.13%
Bluzelle,BLZ,0.194,$ 87.73M,+4.42%
Akropolis,AKRO,0.00575,$ 86.19M,+1.63%
GT-Protocol,GTAI,1.15,$ 85.94M,+2.85%
MANEKI,MANEKI,0.00968,$ 85.72M,+6.24%
why,WHY,0.0₆204,$ 85.65M,+7.49%
Victoria VR,VR,0.0124,$ 85.08M,-11.44%
HUNT,HUNT,0.427,$ 84.82M,+0.79%
Radicle,RAD,1.77,$ 84.57M,+1.80%
ALEX Lab,ALEX,0.139,$ 84.11M,+1.34%
Braintrust token,BTRST,0.575,$ 84.08M,+0.31%
Ethernity Chain,ERN,3.48,$ 84.02M,+4.01%
REI Network,REI,0.0858,$ 83.59M,+1.84%
MAGA,TRUMP,1.72,$ 82.75M,+1.47%
Neiro,NEIRO,0.0826,$ 82.57M,+10.75%
Hippocrat,HPO,0.0761,$ 82.5M,+8.96%
Euro Coin,EUROC,1.06,$ 82.12M,-0.04%
Dasha,VVAIFU,0.082,$ 81.77M,+35.65%
OMG Network,OMG,0.582,$ 81.67M,+3.29%
UXLINK Token,UXLINK,0.65,$ 81.36M,+1.70%
ARK,ARK,0.763,$ 81.23M,+1.79%
Access Protocol,ACS,0.00214,$ 81.1M,+3.46%
Gains Network,GNS,2.79,$ 80.52M,+0.15%
First Convicted RACCON,FRED,0.0792,$ 79.18M,-0.35%
Linear,LINA,0.0079,$ 78.95M,+3.28%
ChainGPT,CGPT,0.242,$ 79.11M,+12.45%
Lazio Fan Token,LAZIO,1.96,$ 78.24M,+2.62%
Swell Network,Swell,0.0496,$ 77.73M,+9.73%
Shapeshift FOX Token,FOX,0.0848,$ 77.59M,+17.58%
Oort Token,OORT,0.27,$ 77.13M,+23.65%
Alchemix,ALCX,27.08,$ 76.74M,+4.98%
RIF Token,RIF,0.0766,$ 76.58M,+3.37%
Rifampicin,$RIF,0.0766,$ 76.58M,+1.81%
Islamic Coin,ISLM,0.0705,$ 76.3M,+2.45%
Small Love Potion,SLP,0.00539,$ 76M,+1.39%
Tornado Cash,TORN,14.43,$ 75.89M,-8.04%
AI Doge,AIDOGE,0.0₉445,$ 75.46M,+14.66%
Name,Symbol,Price,Market cap,24h change
GameFi,GAFI,5.02,$ 75.09M,+9.08%
Polkastarter,POLS,0.605,$ 74.89M,+16.39%
Rarible,RARI,2.99,$ 74.68M,+2.87%
GamerCoin,GHX,0.12,$ 74.49M,-0.40%
Masa,MASA,0.147,$ 74.08M,+2.15%
MODE,MODE,0.0569,$ 73.98M,+20.20%
AERGO Chain,AERGO,0.148,$ 73.94M,+3.76%
Hoppy,HOPPY,0.000176,$ 73.84M,+18.02%
Renzo,REZ,0.0639,$ 73.5M,+6.24%
Luna by Virtuals (Wormhole),LUNA,0.0733,$ 73.26M,+0.63%
Ampleforth,AMPL,1.46,$ 73.17M,-5.03%
JUST,JST,0.051,$ 73.06M,+2.65%
MediBloc,MED,0.0134,$ 72.04M,+3.19%
Verasity,VRA,0.00731,$ 71.98M,+3.35%
DOLA,DOLA,0.998,$ 71.57M,+0.13%
Account Abstraction Incentive,AA,0.238,$ 71.41M,+2.87%
Trias Token,TRIAS,7.18,$ 71.26M,+8.39%
Litentry,LIT,1.20,$ 71.12M,+2.14%
Dimitra,DMTR,0.138,$ 71.04M,+6.69%
GEMS,GEMS,0.163,$ 70.6M,+4.83%
Alpine F1 Team Fan Token,ALPINE,1.75,$ 70.08M,+2.05%
HOPR,HOPR,0.143,$ 70.08M,+52.49%
Aevo,AEVO,0.633,$ 69.56M,+7.06%
CumRocket,CUMMIES,0.00731,$ 69.56M,+7.32%
DIMO,DIMO,0.251,$ 69.28M,+9.31%
Artrade,ATR,0.0524,$ 68.83M,+25.31%
LooksRare,LOOKS,0.0686,$ 68.55M,+7.02%
Stronghold Token,SHX,0.0127,$ 68.5M,+0.87%
Liquity USD,LUSD,0.998,$ 67.77M,+0.25%
Neurashi,NEI,0.0113,$ 67.69M,+27.00%
Cloud,CLOUD,0.375,$ 67.47M,-0.29%
MATH,MATH,0.375,$ 67.45M,+4.50%
Ampleforth Governance Token,FORTH,5.07,$ 67M,+3.57%
Flamingo,FLM,0.105,$ 66.66M,+3.26%
Gemini dollar,GUSD,1.00,$ 66.24M,+0.02%
Wrapped NXM,WNXM,84.39,$ 65.14M,+4.37%
mCoin,MCOIN,0.162,$ 64.95M,+2.93%
MOTHER IGGY,MOTHER,0.0656,$ 64.97M,+1.25%
PeiPei,PEIPEI,0.0₆156,$ 64.28M,+18.04%
Viction,VIC,0.539,$ 64.15M,-0.71%
WAGMI GAMES,WAGMIGAMES,0.0000299,$ 63.53M,+0.70%
Paris Saint-Germain Fan Token,PSG,3.18,$ 63.55M,+1.25%
Metacade,MCADE,0.0355,$ 63.14M,+59.52%
Kishu Inu,KISHU,0.0₉626,$ 62.63M,+30.70%
MAP Protocol,MAPO,0.0121,$ 62.42M,+0.47%
CyberConnect,CYBER,5.57,$ 61.47M,+7.77%
Nuls,NULS,0.558,$ 61.53M,+2.76%
Heroes of Mavia,MAVIA,1.94,$ 61.36M,+2.48%
VITA INU,VINU,0.0₇678,$ 60.99M,+2.51%
Pocket Network,POKT,0.0638,$ 60.15M,+5.99%
Name,Symbol,Price,Market cap,24h change
Assemble Protocol,ASM,0.0397,$ 59.51M,+6.61%
FUNToken,FUN,0.00545,$ 59.15M,-2.38%
Layer3,L3,0.123,$ 58.61M,+0.77%
Stargate Finance,STG,0.439,$ 58.6M,+1.26%
Grok,GROK,0.00884,$ 58.44M,+14.56%
League of Kingdoms Arena,LOKA,0.313,$ 58.09M,+4.61%
Zebec Network,ZBCN,0.0014,$ 57.71M,+10.29%
AllianceBlock Nexera Token,NXRA,0.07,$ 57.47M,-4.76%
Ancient8,A8,0.268,$ 57.14M,+22.06%
Alkimi,ADS,0.384,$ 56.76M,-2.56%
Cornucopias,COPI,0.059,$ 56.6M,+2.18%
PepeFork,PORK,0.0₆133,$ 55.84M,+9.80%
Memes AI,MemesAI,0.0557,$ 55.66M,+16.98%
Parcl,PRCL,0.459,$ 55.65M,+1.00%
DEAPCoin,DEP,0.00185,$ 55.36M,+2.81%
Alpha,ALPHA,0.132,$ 55.34M,+5.01%
Hathor,HTR,0.121,$ 55.4M,+1.78%
Strike,STRK,10.30,$ 55M,+0.22%
Port3 Network,PORT3,0.0553,$ 54.03M,-6.70%
Klever,KLV,0.00598,$ 53.96M,-6.78%
Orderly Network,ORDER,0.259,$ 53.94M,+10.18%
NAVI Protocol,NAVX,0.164,$ 53.87M,+8.33%
deBridge,DBR,0.0299,$ 53.8M,+4.17%
bitsCrunch,BCUT,0.112,$ 53.77M,-3.24%
Guild of Guardians,GOG,0.0536,$ 53.59M,+4.20%
Tron Bull,BULL,0.0532,$ 53.18M,+12.35%
A Hunters Dream,CAW,0.0₇797,$ 53.14M,+7.78%
Hashflow,HFT,0.303,$ 53.02M,+1.99%
Stafi,FIS,0.484,$ 52.76M,+6.31%
Moonriver,MOVR,19.39,$ 52.74M,-1.79%
ICE,ICE,0.00766,$ 52.06M,+6.45%
MOO DENG,MOODENG,0.000127,$ 51.96M,+4.89%
Taraxa,TARA,0.0118,$ 52.21M,+1.36%
Samoyedcoin,SAMO,0.0122,$ 51.65M,+3.47%
PolySwarm,NCT,0.0274,$ 51.6M,-0.58%
Tranchess,CHESS,0.264,$ 51.21M,+3.85%
Shrub,SHRUB,0.0532,$ 50.71M,+5.88%
Self Chain,SLF,0.518,$ 50.22M,+2.89%
Kava,KAVA,0.713,$ 50.03M,+1.06%
Foxy,FOXY,0.0165,$ 49.57M,+6.39%
UFO Gaming,UFO,0.0₆959,$ 49.38M,+5.98%
Alien Worlds,TLM,0.0186,$ 48.58M,+3.28%
Alpaca Finance,ALPACA,0.262,$ 48.52M,-1.13%
Quickswap[New],QUICK,0.0652,$ 48.32M,+3.04%
VAIOT,VAI,0.139,$ 48.36M,+16.33%
FIO Protocol,FIO,0.0598,$ 47.76M,+2.62%
Rocky Rabbit,RBTC,0.0₅64,$ 47.64M,-3.02%
Fractal Bitcoin,FB,6.21,$ 46.9M,+2.11%
LayerAI Token,LAI,0.0195,$ 46.87M,-3.11%
dForce,DF,0.0467,$ 46.71M,+1.77%
Name,Symbol,Price,Market cap,24h change
COMBO,COMBO,0.647,$ 45.96M,+4.87%
TARS AI,TAI,0.385,$ 45.9M,-1.12%
Kendu Inu,Kendu,0.0000462,$ 45.86M,+54.20%
e-RADIX,EXRD,0.038,$ 45.55M,+3.93%
XEN Crypto,XEN,0.0₆295,$ 45.37M,+33.79%
Oasys,OAS,0.0515,$ 44.83M,+2.53%
Smoking Chicken Fish,SCF,0.0486,$ 44.49M,+2.40%
GameStop,GME,0.00644,$ 44.42M,-3.21%
Tokocrypto,TKO,0.589,$ 44.15M,+15.18%
DADDY TATE,DADDY,0.0755,$ 44.05M,+0.11%
The Root Network,ROOT,0.0422,$ 43.84M,+3.27%
Shuffle,SHFL,0.235,$ 43.41M,+2.61%
Coinweb,CWEB,0.0076,$ 42.98M,+19.60%
MAGA,MAGA,0.000102,$ 43.09M,+15.78%
Opulous,OPUL,0.115,$ 42.8M,-8.51%
Komodo,KMD,0.386,$ 42.68M,+2.97%
Harvest Finance,FARM,61.91,$ 42.53M,+4.05%
Euro Tether,EURT,1.06,$ 42.32M,-0.03%
Aventus,AVT,3.96,$ 42.3M,+23.38%
MUBI,MUBI,0.0457,$ 42.3M,+6.90%
Graphlinq Protocol,GLQ,0.124,$ 42.02M,+4.63%
district0x,DNT,0.0698,$ 41.86M,-0.20%
Mercury Protocol,GMT,0.244,$ 41.56M,+3.90%
RichQUACK.com,QUACK,0.0₉936,$ 41.52M,+4.70%
unilend.finance,UFT,0.375,$ 41.43M,+4.23%
Ethervista,VISTA,41.15,$ 41.15M,+10.92%
Alpha Quark Token,AQT,1.52,$ 40.62M,+0.79%
AirDAO,AMB,0.0128,$ 40.25M,-6.37%
DOGE KILLER,LEASH,378.02,$ 40.26M,+3.40%
Storx network,SRX,0.0887,$ 40M,+38.17%
AC Milan Fan Token,ACM,1.98,$ 39.64M,+2.78%
Game.com,GTC,1.32,$ 39.48M,+4.45%
Burger Swap,BURGER,0.654,$ 39.43M,+2.26%
Streamr DATAcoin,DATA,0.0581,$ 39.33M,+2.29%
Shoggoth,SHOGGOTH,0.0393,$ 39.28M,+1.95%
Juventus Fan Token,JUV,1.96,$ 39.22M,+2.80%
Synternet Token,SYNT,0.0578,$ 38.46M,+0.88%
Tectum,TET,9.38,$ 38.41M,-1.39%
BILLY,BILLY,0.0388,$ 38.09M,+3.20%
Pirate Nation,PIRATE,0.172,$ 37.33M,+0.27%
Persistence,XPRT,0.199,$ 37.37M,+3.96%
PlayDapp,PDA,0.0619,$ 37.26M,+3.84%
SUKU,SUKU,0.107,$ 36.87M,-2.46%
Swarm,BZZ,0.581,$ 36.69M,+5.34%
PARSIQ,PRQ,0.119,$ 36.59M,+8.28%
CLORE,CLORE,0.146,$ 36.52M,-5.55%
Neon EVM,NEON,0.625,$ 36.04M,-10.66%
Matr1x,MAX,0.275,$ 35.89M,-0.91%
Brickken,BKN,0.501,$ 35.85M,-2.07%
Wing Finance,WING,7.57,$ 35.76M,+5.65%
Name,Symbol,Price,Market cap,24h change
Biswap,BSW,0.102,$ 35.64M,+4.28%
RESISTANCE DOG,REDO,0.357,$ 35.66M,+11.29%
AdEx,ADX,0.247,$ 35.53M,+3.89%
SingularityDAO,SDAO,0.364,$ 34.9M,+7.95%
Dego Finance,DEGO,3.47,$ 34.81M,+5.51%
pSTAKE Finance,PSTAKE,0.0706,$ 34.66M,+7.74%
ROGin AI,ROG,0.511,$ 34.26M,-0.24%
Hooked Protocol,HOOK,0.684,$ 34.2M,+3.41%
Sperax,SPA,0.0201,$ 34.07M,+14.71%
Basenji,BENJI,0.0365,$ 33.62M,+3.68%
Big Time,BIGTIME,0.217,$ 33.13M,+2.43%
Wanchain,WAN,0.311,$ 32.98M,+6.06%
Matr1x Fire Token,FIRE,0.942,$ 32.93M,+6.65%
Index Cooperative,INDEX,4.49,$ 32.57M,+11.04%
Vertex,VRTX,0.0851,$ 32.5M,-1.52%
sUSD Synthetix,SUSD,0.993,$ 32.4M,-0.23%
Camelot Token,GRAIL,"1,665.12",$ 32.15M,+18.27%
Wirex,WXT,0.00346,$ 32.15M,+3.68%
Altered State Machine Utility Token,ASTO,0.04,$ 32.12M,-7.16%
Urolithin A,$URO,0.0321,$ 32.11M,+11.83%
Electroneum,ETN,0.00402,$ 32.06M,-9.40%
SwftCoin,SWFTC,0.00877,$ 31.93M,+3.37%
MAGIC,MAGIC,0.695,$ 31.74M,+8.05%
TopGoal Token,GOAL,0.0557,$ 31.44M,+53.73%
Polytrade,TRADE,0.826,$ 31.38M,+2.15%
MLTToken,ML,0.198,$ 31.24M,-7.14%
HyperGPT,HGPT,0.0496,$ 31.24M,+2.43%
FC Barcelona Fan Token,BAR,2.47,$ 31.18M,+3.69%
Inverse Finance,INV,51.94,$ 30.78M,+11.34%
Scallop,SCA,0.459,$ 30.74M,+6.09%
Elastos,ELA,3.18,$ 30.53M,+7.76%
Proton,XPR,0.00151,$ 30.21M,+6.23%
UTRUST,UTK,0.067,$ 30.16M,+1.38%
mETH Protocol,COOK,0.0314,$ 30.1M,+7.88%
Ren,REN,0.0494,$ 29.77M,+4.76%
MVL,MVL,0.00603,$ 29.84M,+1.62%
MON,MON,0.14,$ 29.57M,+9.60%
XSGD,XSGD,0.747,$ 29.19M,+0.13%
ZKLink,ZKL,0.15,$ 28.9M,-0.39%
ZTX,ZTX,0.00679,$ 28.52M,+1.15%
DefiPulse Index,DPI,157.34,$ 27.83M,-0.72%
KiboShib,KIBSHI,0.0000282,$ 28.14M,+16.67%
DappRadar,RADAR,0.00733,$ 28.02M,+8.36%
BOB,BOB,0.0000404,$ 27.86M,+19.12%
Pandora,PANDORA,"2,785.35",$ 27.85M,+15.83%
GMX,GMX,43.06,$ 27.73M,+12.65%
SHPING,SHPING,0.012,$ 27.43M,+12.41%
Midnight,MDT,0.0659,$ 27.14M,+1.01%
Dynex,DNX,0.374,$ 26.92M,-2.71%
Artyfact,ARTY,1.25,$ 26.73M,-0.81%
Name,Symbol,Price,Market cap,24h change
iMe Lab,LIME,0.0605,$ 26.16M,-5.45%
CryptoForeX,CFX,0.256,$ 25.56M,+6.64%
XCAD Network,XCAD,0.487,$ 25.5M,-0.46%
Lambda,LAMB,0.00421,$ 25.29M,+1.93%
Green Satoshi Token (SOL),GST,0.0265,$ 25.26M,+1.91%
DFI.money,YFII,629.20,$ 25M,+7.37%
Pixelverse,PIXFI,0.00497,$ 24.82M,+5.77%
Phil,PHIL,0.0249,$ 24.88M,+4.26%
Data Ownership Protocol,DOP,0.00293,$ 24.7M,+8.60%
AdEx (old),ADX,0.247,$ 24.66M,+4.43%
OG Fan Token,OG,5.91,$ 24.4M,+1.68%
Kava Lend,HARD,0.197,$ 24.32M,+7.00%
Atletico Madrid Fan Token,ATM,2.41,$ 24.14M,+2.63%
Pluton,PLU,2.47,$ 23.95M,+0.54%
Cryptex,CTX,3.54,$ 23.78M,+3.80%
Avalon,AVA,0.809,$ 23.71M,+5.07%
Tenset,10SET,0.277,$ 23.6M,-0.19%
Cratos,CRTS,0.000376,$ 23.45M,+4.04%
Katana Inu,KATA,0.000848,$ 23.31M,+1.61%
Handshake,HNS,0.0359,$ 23.03M,+11.97%
Ultiverse Token,ULTI,0.0164,$ 22.95M,+1.46%
PIVX,PIVX,0.351,$ 22.22M,-0.52%
OpenPlatform,OPEN,0.0125,$ 21.85M,+6.06%
Apeiron,APRS,0.213,$ 21.83M,+10.93%
Melon,MLN,21.86,$ 21.81M,+0.80%
Smart Layer Network Token,SLN,0.276,$ 21.68M,-0.57%
Keep3rV1,KP3R,42.22,$ 21.66M,+39.78%
Kyber Network,KNC,0.834,$ 21.59M,+6.36%
numogram,GNON,0.0216,$ 21.56M,+87.38%
Cellframe,CELL,0.702,$ 21.27M,+3.98%
PEPE2.0,PEPE2.0,0.0₇452,$ 21.21M,+17.65%
TROLL,TROLL,0.0₇22,$ 21.11M,+7.52%
Creo Engine,CREO,0.0599,$ 20.99M,-5.91%
Synesis One,SNS,0.0375,$ 19.74M,-11.30%
MultiVAC,MTV,0.00104,$ 19.81M,+4.52%
UPCX,UPC,4.72,$ 19.6M,+2.67%
nubcat,NUB,0.0206,$ 19.55M,+0.53%
QnA3.AI Token,GPT,0.109,$ 19.43M,+3.40%
Orion Protocol,ORN,2.18,$ 19.42M,+6.11%
HELLO,HELLO,0.0266,$ 19.34M,+3.16%
zkRace,ZERC,0.161,$ 19.29M,+4.37%
Manchester City Fan Token,CITY,2.37,$ 19.13M,+4.09%
PolyDoge,POLYDOGE,0.0₇191,$ 19.11M,+15.29%
Entangle,NGL,0.174,$ 19.06M,-6.34%
AirSwap,AST,0.125,$ 18.78M,+3.29%
Carbon,CSIX,0.0325,$ 18.56M,+5.95%
DUEL Token,DUEL,0.00626,$ 18.51M,+6.52%
Reef Finance,REEF,0.00206,$ 18.43M,+7.48%
IRIS Network,IRIS,0.012,$ 19.34M,+33.58%
Firo,FIRO,1.79,$ 18.09M,+0.88%
Name,Symbol,Price,Market cap,24h change
PENG,PENG,0.18,$ 18M,+14.58%
Starlink,STARL,0.0₅173,$ 17.28M,+10.27%
Viberate,VIB,0.0965,$ 17.15M,+5.98%
Alvara,ALVA,0.412,$ 17.04M,+5.90%
Myria,MYRIA,0.0042,$ 16.85M,+7.99%
MSTR2100,MSTR,0.809,$ 16.71M,-8.78%
FC Porto Fan Token,PORTO,2.11,$ 16.48M,+3.65%
OVR,OVR,0.318,$ 16.29M,+7.23%
Statter,STT,0.324,$ 16.31M,+0.83%
Inspect,INSP,0.0502,$ 16.09M,-5.22%
Akita Inu,AKITA,0.0₆164,$ 15.96M,+9.69%
NYAN,NYAN,0.157,$ 15.82M,+9.05%
Silly Dragon,SILLY,0.0154,$ 15.45M,+1.17%
Only1,LIKE,0.0565,$ 15.43M,+0.33%
LumiWave,LWA,0.0283,$ 15.38M,-0.29%
AS Roma Fan Token,ASR,2.41,$ 15.33M,+2.97%
BarnBridge,BOND,1.53,$ 15.28M,+0.07%
NYM,NYM,0.129,$ 15.25M,+3.94%
Catcoin,CAT,0.0₉304,$ 15.21M,+13.07%
Rejuve Token,RJV,0.0246,$ 15.13M,+1.79%
Solchat,CHAT,1.68,$ 15.12M,+36.13%
Ben the Dog,BENDOG,0.0151,$ 15.08M,+16.50%
PLAYA3ULL GAMES,3ULL,0.00316,$ 14.91M,+1.43%
Step App,FITFI,0.00435,$ 14.81M,-0.25%
TOMI,TOMI,0.0234,$ 14.81M,+5.13%
Ispolink,ISP,0.00178,$ 14.75M,-3.10%
Mystiko Token,XZK,0.0426,$ 14.73M,+9.51%
Dmail Network,DMAIL,0.338,$ 14.73M,-5.10%
Ginnan Doge's Sister,GINNAN,0.0₅212,$ 14.7M,+0.64%
QORPO Token,QORPO,0.156,$ 14.47M,+14.14%
Aeternity,AE,0.0527,$ 14.42M,+14.17%
Zeta,ZEX,0.0858,$ 14.38M,+7.40%
ChessCoin,CHESS,0.263,$ 14.23M,+3.60%
Nibiru Chain,NIBI,0.0745,$ 13.91M,-1.53%
Dogechain,DC,0.000417,$ 13.78M,+9.13%
Bubble,BUBBLE,0.00998,$ 13.79M,+0.06%
CATWIFHAT,CWIF,0.0₆421,$ 13.66M,+10.48%
Gari Network,GARI,0.0135,$ 13.43M,+5.39%
SubQuery,SQT,0.00736,$ 13.27M,-3.64%
Voyager Token,VGX,0.0133,$ 13.26M,-2.53%
Humanode,HMND,0.151,$ 13M,+17.40%
Fuse Token,FUSE,0.0434,$ 12.99M,+9.66%
Swisscheese,SWCH,0.337,$ 12.87M,-2.51%
Xraders,XR,0.679,$ 12.63M,-2.88%
Ethereum Push Notification Service,PUSH,0.13,$ 12.62M,+8.66%
Cookie,COOKIE,0.0582,$ 12.6M,+3.91%
Cross The Ages,CTA,0.0374,$ 12.23M,-2.34%
Orange Crypto BRC,ORNJ,0.145,$ 12.1M,+3.94%
Muse,MUSE,12.41,$ 11.79M,-3.85%
Clover Finance,CLV,0.0902,$ 11.62M,-0.22%
Name,Symbol,Price,Market cap,24h change
BLOCKLORDS,LRDS,0.70,$ 11.51M,-0.49%
Duko,DUKO,0.00114,$ 11.35M,+1.92%
HAPI,HAPI,15.45,$ 11.31M,+15.76%
UnMarshal,MARSH,0.121,$ 11.27M,+5.48%
BEAM,BEAM,0.0754,$ 11.18M,+0.91%
Ternoa,CAPS,0.00653,$ 10.98M,-1.63%
eesee,ESE,0.0338,$ 10.92M,+6.69%
LandWolf,WOLF,0.00107,$ 10.67M,+9.06%
Omax Coin,OMAX,0.00122,$ 10.55M,-3.16%
ZeroLend,ZERO,0.000389,$ 10.52M,+2.16%
DEFI,DEFI,0.032,$ 10.5M,+2.21%
Minati,MNTC,1.90,$ 10.4M,+5.96%
ETHEREUM IS GOOD,EBULL,0.00104,$ 10.37M,+33.41%
Metahero,HERO,0.00201,$ 10.28M,+3.12%
Comtech Gold,CGO,84.28,$ 10.2M,-0.34%
PowerPool Concentrated Voting Power,CVP,0.121,$ 10.09M,-0.25%
Symbiosis,SIS,0.152,$ 10.03M,+4.72%
Sweat Economy,SWEAT,0.00946,$ 10.02M,+8.25%
Bad Idea AI,BAD,0.0₇173,$ 9.93M,-2.31%
doland tremp,TREMP,0.0982,$ 9.81M,+16.27%
XANA,XETA,0.00401,$ 9.72M,+3.75%
Unifi Protocol DAO,UNFI,0.966,$ 9.66M,+0.02%
Ambire Wallet,WALLET,0.0152,$ 9.57M,-0.38%
Sylo,SYLO,0.00162,$ 9.36M,+1.96%
MongCoin,MONG,0.0₇157,$ 9.14M,+21.32%
Realio Network,RIO,1.38,$ 9.04M,+7.76%
LBR,LBR,0.132,$ 8.92M,+0.93%
Klaus,KLAUS,0.00884,$ 8.84M,+3.41%
Unibot,UNIBOT,8.79,$ 8.79M,-2.58%
AREON,AREA,0.0734,$ 8.77M,+6.33%
Tottenhan Hotspur,SPURS,1.60,$ 8.72M,-0.41%
Gamestarter,GAME,0.0713,$ 8.68M,-0.07%
Crypto Asset Governance Alliance,CAGA,0.000141,$ 8.65M,+5.89%
Troy,TROY,0.00455,$ 8.65M,+3.36%
LightLink,LL,0.0576,$ 8.6M,+1.37%
Upland,SPARKLET,0.0369,$ 8.51M,+1.89%
BEPRO Network,BEPRO,0.000845,$ 8.45M,-2.14%
Red Pulse Phoenix Binance,PHB,2.49,$ 8.41M,+0.35%
BabyBonk,BABYBONK,0.0₁₀199,$ 8.4M,+21.42%
PolkaBridge,PBR,0.11,$ 8.27M,+18.61%
Gearbox,GEAR,0.0109,$ 8.24M,+13.15%
Eigenpie,EGP,4.08,$ 8.15M,+1.74%
NOTAI,NOTAI,0.0000859,$ 8.16M,-1.63%
ZKFair,ZKF,0.000813,$ 8.13M,-5.72%
Slothana,SLOTH,0.00478,$ 8.1M,+3.81%
Stratis,STRAX,0.08,$ 8.01M,+3.05%
beoble,BBL,0.0081,$ 7.92M,-4.87%
PIP,PIP,0.0324,$ 7.89M,+5.00%
Nutcoin,NUT,0.0₆391,$ 7.77M,-6.34%
REVV,REVV,0.00569,$ 7.69M,+1.72%
Name,Symbol,Price,Market cap,24h change
Ctrl,CTRL,0.0771,$ 7.55M,+0.85%
Crust Network,CRU,0.729,$ 7.47M,+3.59%
BEER,$BEER,0.0000132,$ 7.28M,+1.23%
Velas,VLX,0.0163,$ 7.09M,-3.88%
GensoKishi Metaverse,MV,0.0176,$ 7.05M,+5.37%
Cortex,CTXC,0.702,$ 7.05M,+4.58%
LogX Network,LOGX,0.053,$ 6.89M,+10.29%
VITE,VITE,0.0166,$ 6.88M,+1.83%
ScriptToken,SCPT,0.0115,$ 6.87M,+0.18%
SUPER TRUMP,STRUMP,0.00259,$ 6.72M,+41.76%
5IRE TOKEN,5IRE,0.0138,$ 6.64M,+13.82%
Suiswap,SSWP,0.000725,$ 6.41M,+11.50%
Everdome,DOME,0.000535,$ 6.3M,-8.93%
Neiro,NEIRO,0.00607,$ 6.07M,+14.32%
Juggernaut DeFi,JGN,0.0311,$ 6.07M,+1.12%
SelfKey,KEY,0.00236,$ 5.9M,+14.24%
Hydro Protocol,HOT,0.00381,$ 5.89M,+2.80%
SUNCAT,SUNCAT,0.0058,$ 5.8M,+2.23%
Veloce,VEXT,0.0231,$ 5.41M,+0.99%
DeBoxToken,BOX,0.0312,$ 5.1M,+0.85%
Okratech Token,ORT,0.00575,$ 5.01M,+8.04%
Polkacity,POLC,0.0116,$ 4.98M,+3.94%
Mars,MARS,0.0000114,$ 4.79M,-1.64%
Pesto the Baby King Penguin,PESTO,0.00476,$ 4.76M,+6.85%
Engines of Fury Token,FURY,0.146,$ 4.71M,+0.38%
Pochita,POCHITA,0.0047,$ 4.7M,+22.61%
BinaryX,BNX,0.717,$ 4.62M,+1.05%
