Name,Symbol,Price,Market cap,24h change
Celestia,TIA,8.68,$ 1.23B,+2.53%
PancakeSwap,CAKE,4.16,$ 1.22B,+3.14%
WEMIX Token,WEMIX,1.21,$ 1.21B,+0.14%
XinFin Network,XDC,0.0981,$ 1.21B,+15.34%
Zcash,ZEC,71.05,$ 1.16B,+2.11%
Chiliz,CHZ,0.129,$ 1.15B,+1.01%
Mina Protocol Token,MINA,0.956,$ 1.14B,+5.83%
Terra Classic,LUNC,0.000166,$ 1.13B,+3.67%
Ankr,ANKR,0.0554,$ 1.11B,+3.23%
AMP,AMP,0.0109,$ 1.08B,-2.10%
FTX Token,FTT,3.28,$ 1.07B,-0.51%
eCash,XEC,0.0000535,$ 1.06B,+2.34%
Synthetix Network,SNX,3.18,$ 1.05B,+1.99%
Compound,COMP,117.00,$ 1.03B,-1.30%
Notcoin,NOT,0.01,$ 1.03B,+5.86%
KuCoin Token,KCS,13.59,$ 1.03B,+3.18%
ordi,ORDI,48.93,$ 1.03B,+5.77%
Pax Dollar,USDP,1.00,$ 1.02B,+0.07%
zkSync,ZK,0.263,$ 968.4M,+5.98%
JITO,JTO,3.56,$ 953.05M,-1.96%
SuperVerse,SUPER,1.86,$ 928.72M,+8.62%
Helium,HNT,9.42,$ 920.05M,+9.29%
Axelar,AXL,1.05,$ 906.2M,+0.62%
BLUR,BLUR,0.422,$ 862.03M,+3.25%
EigenLayer,EIGEN,4.57,$ 852.3M,+9.73%
cat in a dogs world,MEW,0.00955,$ 848.6M,+5.30%
Ronin,RON,2.31,$ 844.94M,+4.72%
Telcoin,TEL,0.00648,$ 800.72M,-0.44%
Neiro,NEIRO,0.00189,$ 796.96M,+9.53%
Pyth Network,PYTH,0.531,$ 795.85M,+4.62%
Echelon Prime,PRIME,15.89,$ 787.98M,+4.59%
Nervos Network,CKB,0.0171,$ 775.48M,+2.44%
Goatseus Maximus,GOAT,0.777,$ 773.89M,+0.60%
Universe,UNI,17.35,$ 765.54M,+5.96%
SPX6900,SPX,0.724,$ 745.77M,+8.22%
USDD,USDD,0.999,$ 743.38M,+0.10%
Turbo,TURBO,0.0107,$ 734.82M,+23.04%
DOG•GO•TO•THE•MOON,🐕,0.00734,$ 734.31M,+11.51%
Dash,DASH,59.92,$ 722.88M,-0.51%
Coinbase Wrapped Staked ETH,CBETH,"4,342.24",$ 722.22M,+3.99%
Wormhole,W,0.394,$ 708.45M,+0.71%
Zilliqa,ZIL,0.0357,$ 706.02M,+6.61%
1inch Token,1INCH,0.536,$ 702.92M,+3.97%
Name,Symbol,Price,Market cap,24h change
Grass,GRASS,2.88,$ 701.53M,-2.93%
Spectral Token,SPEC,14.69,$ 700.6M,+3.72%
Convex Finance,CVX,6.91,$ 686.13M,+0.64%
Ravencoin,RVN,0.0326,$ 683.55M,+3.75%
Holo,HOT,0.00382,$ 678.29M,+3.45%
Creditcoin,CTC,1.70,$ 673.53M,-12.44%
APENFT,NFT,0.0₆672,$ 672.43M,+3.75%
SATS BRC,SATS,0.0₆317,$ 665.33M,+8.70%
Astar,ASTR,0.0894,$ 663.49M,+2.29%
Metis Token,METIS,66.35,$ 663.17M,+3.43%
Huobi Token,HT,1.32,$ 658.73M,+1.83%
